section,veh_id,t_in_s,t_out_s,travel_s,delay_s
loopA 순환,1,64.6,4306.8,4242.2,1830.0
loopA 순환,3,544.6,4970.5,4425.9,2013.7
loopA 순환,5,1024.6,5222.4,4197.8,1785.6
loopA 순환,7,1504.6,5753.1,4248.5,1836.3
loopA 순환,9,1984.6,6410.6,4426.0,2013.8
loopA 순환,345,2464.6,6820.0,4355.4,1943.2
loopA 순환,894,2952.6,7336.4,4383.8,1971.6
loopA 순환,1447,3424.6,7715.4,4290.8,1878.6
loopB 순환,2,322.8,4749.0,4426.2,2016.2
loopB 순환,4,802.8,4996.6,4193.8,1783.8
loopB 순환,6,1282.8,5558.8,4276.0,1866.0
loopB 순환,8,1762.8,5942.8,4180.0,1770.0
loopB 순환,128,2242.8,6316.5,4073.7,1663.7
loopB 순환,640,2722.8,7049.5,4326.7,1916.7
loopB 순환,1217,3202.8,7338.3,4135.5,1725.5
loopB 순환,1775,3682.8,7904.1,4221.3,1811.3
