section,veh_id,t_in_s,t_out_s,travel_s,delay_s
loopA 순환,1,114.4,4465.2,4350.8,1938.6
loopA 순환,3,594.4,4763.1,4168.7,1756.5
loopA 순환,5,1074.4,5509.7,4435.3,2023.1
loopA 순환,7,1554.4,5927.0,4372.6,1960.4
loopA 순환,9,2034.4,6323.3,4288.9,1876.7
loopA 순환,419,2514.4,6974.0,4459.6,2047.4
loopA 순환,994,2994.4,7329.6,4335.2,1923.0
loopA 순환,1551,3474.4,7796.4,4322.0,1909.8
loopA 순환,2131,3954.4,8189.6,4235.2,1823.0
loopB 순환,2,390.2,4905.1,4514.9,2104.9
loopB 순환,4,870.2,5187.5,4317.3,1907.3
loopB 순환,6,1350.2,5588.8,4238.6,1828.6
loopB 순환,8,1830.2,6154.2,4324.0,1914.0
loopB 순환,182,2310.2,6680.7,4370.5,1960.5
loopB 순환,776,2790.2,7057.5,4267.3,1857.3
loopB 순환,1311,3270.2,7489.1,4218.9,1808.9
loopB 순환,1884,3750.2,8195.2,4445.0,2035.0
