veh_id,kind,length_m,origin,destination,depart_s,arrive_s,travel_s,dist_m,avg_kmh,stops
13,car,4.5,road_loopA_f0,xloopA_0Ab,2155.7,2235.3,79.6,505.2,22.8,1
12,suv,4.8,road_loopA_r0,road_loopA_r1,2152.1,2241.1,89.0,1297.3,52.5,0
10,suv,4.8,road_loopA_r0,road_loopA_r1,2150.9,2241.7,90.8,1297.9,51.5,0
14,car,4.5,road_loopA_r0,road_loopA_r1,2156.4,2245.3,88.9,1297.3,52.5,0
41,car,4.5,xloopA_0Ba,xloopA_0Bb,2187.3,2249.8,62.5,84.1,4.8,1
31,car,4.5,xloopA_0Aa,xloopA_0Ab,2180.1,2250.5,70.4,84.7,4.3,1
15,car,4.5,road_loopA_r0,road_loopA_r1,2161.1,2251.9,90.8,1297.8,51.4,0
9,car,4.5,road_loopA_f0,road_loopA_f1,2150.2,2252.3,102.1,1302.9,45.9,0
66,car,4.5,xloopA_0Ba,xloopA_0Bb,2208.7,2254.5,45.8,84.0,6.6,1
111,car,4.5,xloopA_0Ba,xloopA_0Bb,2245.5,2256.8,11.3,84.7,27.0,0
11,car,4.5,road_loopA_f0,road_loopA_f1,2151.2,2257.4,106.2,1302.9,44.2,0
23,car,4.5,road_loopA_f0,road_loopA_f1,2174.6,2264.0,89.4,1303.1,52.5,0
25,car,4.5,road_loopA_f0,road_loopA_f1,2175.7,2265.0,89.3,1303.1,52.5,0
28,car,4.5,road_loopA_f0,road_loopA_f1,2178.3,2267.6,89.3,1303.1,52.5,0
29,car,4.5,road_loopA_f0,road_loopA_f1,2178.7,2268.0,89.3,1303.1,52.5,0
34,car,4.5,road_loopA_f0,road_loopA_f1,2180.6,2270.0,89.4,1303.1,52.5,0
17,car,4.5,road_loopA_r0,xloopA_0Ab,2164.1,2273.2,109.1,869.0,28.7,3
80,suv,4.8,road_loopA_f0,xloopA_0Bb,2220.8,2280.1,59.3,478.8,29.1,2
95,truck,8.5,road_loopA_f0,xloopA_0Bb,2231.5,2285.3,53.8,478.6,32.1,0
49,car,4.5,road_loopA_r0,xloopA_0Ab,2196.2,2289.2,93.0,869.2,33.7,1
114,car,4.5,road_loopA_f0,xloopA_0Bb,2248.6,2293.7,45.1,478.7,38.2,0
19,suv,4.8,road_loopA_r0,road_loopA_r1,2168.6,2296.4,127.8,1297.3,36.5,1
20,suv,4.8,road_loopA_r0,road_loopA_r1,2171.0,2298.0,127.0,1298.1,36.8,1
30,car,4.5,road_loopA_r0,road_loopA_r1,2180.0,2299.9,119.9,1297.4,39.0,1
125,suv,4.8,road_loopA_f0,xloopA_0Bb,2253.7,2300.0,46.3,479.1,37.2,0
76,car,4.5,xloopA_0Aa,road_loopA_r1,2217.7,2301.1,83.4,506.5,21.9,1
24,car,4.5,road_loopA_r0,road_loopA_r1,2175.1,2302.5,127.4,1297.7,36.7,1
16,car,4.5,road_loopA_r0,road_loopA_r1,2162.9,2302.8,139.9,1298.4,33.4,1
18,truck,8.5,road_loopA_r0,road_loopA_r1,2168.1,2304.2,136.1,1297.8,34.3,1
26,suv,4.8,road_loopA_r0,road_loopA_r1,2175.8,2304.4,128.6,1298.0,36.3,1
32,car,4.5,road_loopA_r0,road_loopA_r1,2180.2,2304.7,124.5,1298.5,37.5,1
124,truck,8.5,road_loopA_f0,xloopA_0Bb,2253.4,2305.3,51.9,478.6,33.2,0
33,car,4.5,road_loopA_r0,road_loopA_r1,2180.2,2306.1,125.9,1297.5,37.1,1
132,suv,4.8,road_loopA_f0,xloopA_0Bb,2262.1,2308.9,46.8,479.1,36.9,0
36,bus,11.0,road_loopA_r0,road_loopA_r1,2183.2,2309.3,126.1,1298.0,37.1,1
78,suv,4.8,road_loopA_r0,xloopA_0Ab,2219.8,2309.7,89.9,869.2,34.8,1
42,car,4.5,road_loopA_r0,road_loopA_r1,2191.0,2310.2,119.2,1298.1,39.2,1
27,car,4.5,road_loopA_r0,road_loopA_r1,2176.6,2312.2,135.6,1297.8,34.4,1
58,car,4.5,road_loopA_r0,road_loopA_r1,2205.5,2312.2,106.7,1298.4,43.8,0
50,car,4.5,road_loopA_r0,road_loopA_r1,2196.8,2314.3,117.5,1298.1,39.8,0
64,car,4.5,road_loopA_r0,road_loopA_r1,2208.2,2314.6,106.4,1298.2,43.9,0
46,truck,8.5,road_loopA_r0,road_loopA_r1,2193.0,2314.9,121.9,1297.7,38.3,0
141,truck,8.5,road_loopA_f0,xloopA_0Bb,2270.7,2315.0,44.3,478.5,38.9,0
75,suv,4.8,road_loopA_r0,road_loopA_r1,2217.7,2316.2,98.5,1298.3,47.4,0
71,car,4.5,road_loopA_r0,road_loopA_r1,2214.5,2316.5,102.0,1298.5,45.8,0
61,suv,4.8,road_loopA_r0,road_loopA_r1,2206.8,2316.9,110.1,1297.9,42.4,0
69,truck,8.5,road_loopA_r0,road_loopA_r1,2212.4,2320.0,107.6,1298.4,43.4,0
39,car,4.5,road_loopA_f0,road_loopA_f1,2186.8,2325.5,138.7,1303.8,33.8,1
44,car,4.5,road_loopA_f0,road_loopA_f1,2192.0,2325.5,133.5,1303.5,35.2,1
72,car,4.5,road_loopA_r0,road_loopA_r1,2215.2,2326.8,111.6,1298.1,41.9,0
81,suv,4.8,road_loopA_r0,road_loopA_r1,2221.3,2327.6,106.3,1297.4,43.9,0
98,suv,4.8,road_loopA_r0,road_loopA_r1,2234.0,2328.9,94.9,1297.3,49.2,0
85,truck,8.5,road_loopA_r0,road_loopA_r1,2223.4,2329.9,106.5,1297.8,43.9,0
22,suv,4.8,road_loopA_r0,road_loopA_r1,2172.7,2330.7,158.0,1298.3,29.6,1
47,truck,8.5,road_loopA_f0,road_loopA_f1,2193.9,2330.8,136.9,1303.5,34.3,1
59,suv,4.8,road_loopA_r0,road_loopA_r1,2206.6,2331.2,124.6,1297.8,37.5,0
51,car,4.5,road_loopA_f0,road_loopA_f1,2201.0,2332.8,131.8,1303.0,35.6,1
94,suv,4.8,road_loopA_r0,road_loopA_r1,2231.3,2332.8,101.5,1297.9,46.0,0
82,suv,4.8,road_loopA_r0,road_loopA_r1,2222.0,2333.1,111.1,1298.4,42.1,0
100,car,4.5,road_loopA_r0,road_loopA_r1,2237.5,2333.1,95.6,1298.1,48.9,0
55,car,4.5,road_loopA_f0,road_loopA_f1,2203.8,2334.7,130.9,1304.0,35.9,1
103,car,4.5,road_loopA_r0,road_loopA_r1,2240.2,2336.0,95.8,1297.5,48.8,0
57,suv,4.8,road_loopA_f0,road_loopA_f1,2205.3,2336.4,131.1,1303.6,35.8,1
89,suv,4.8,road_loopA_r0,road_loopA_r1,2228.7,2337.7,109.0,1297.6,42.9,0
70,car,4.5,road_loopA_r0,road_loopA_r1,2212.6,2337.8,125.2,1297.7,37.3,0
62,car,4.5,road_loopA_f0,road_loopA_f1,2207.6,2338.2,130.6,1303.6,35.9,1
40,car,4.5,road_loopA_f0,road_loopA_f1,2186.9,2338.9,152.0,1304.2,30.9,1
87,car,4.5,road_loopA_r0,road_loopA_r1,2225.4,2339.5,114.1,1298.5,41.0,0
116,suv,4.8,road_loopA_r0,road_loopA_r1,2250.6,2339.8,89.2,1298.2,52.4,0
90,truck,8.5,road_loopA_r0,road_loopA_r1,2230.1,2340.6,110.5,1298.4,42.3,0
53,car,4.5,road_loopA_f0,road_loopA_f1,2201.7,2340.7,139.0,1303.4,33.8,1
35,bus,11.0,road_loopA_f0,road_loopA_f1,2181.7,2341.0,159.3,1303.1,29.4,2
37,car,4.5,road_loopA_f0,road_loopA_f1,2183.7,2341.1,157.4,1303.3,29.8,1
45,truck,8.5,road_loopA_f0,road_loopA_f1,2192.4,2342.4,150.0,1303.3,31.3,1
112,car,4.5,road_loopA_r0,road_loopA_r1,2247.3,2342.4,95.1,1298.3,49.1,0
56,car,4.5,road_loopA_f0,road_loopA_f1,2204.1,2345.2,141.1,1303.4,33.2,1
48,car,4.5,road_loopA_f0,road_loopA_f1,2195.2,2345.3,150.1,1303.3,31.3,1
120,car,4.5,road_loopA_r0,road_loopA_r1,2251.7,2345.4,93.7,1298.2,49.9,0
140,suv,4.8,road_loopA_r0,xloopA_0Bb,2270.1,2346.2,76.1,895.7,42.4,0
104,car,4.5,road_loopA_r0,road_loopA_r1,2241.9,2346.5,104.6,1297.6,44.6,0
63,car,4.5,road_loopA_f0,xloopA_0Ab,2208.0,2346.6,138.6,505.4,13.1,1
68,suv,4.8,road_loopA_f0,road_loopA_f1,2212.0,2346.9,134.9,1303.0,34.8,1
117,car,4.5,road_loopA_r0,road_loopA_r1,2250.7,2347.4,96.7,1297.5,48.3,0
43,car,4.5,xloopA_0Aa,road_loopA_f1,2192.0,2348.6,156.6,872.0,20.0,1
86,car,4.5,road_loopA_f0,road_loopA_f1,2224.8,2348.7,123.9,1303.3,37.9,1
146,car,4.5,road_loopA_r0,xloopA_0Bb,2274.5,2348.7,74.2,895.9,43.5,0
128,car,4.5,road_loopA_r0,road_loopA_r1,2257.6,2348.9,91.3,1298.5,51.2,0
38,suv,4.8,road_loopA_f0,road_loopA_f1,2183.8,2349.2,165.4,1303.5,28.4,1
65,suv,4.8,road_loopA_f0,xloopA_0Ab,2208.6,2349.2,140.6,505.4,12.9,1
121,car,4.5,road_loopA_r0,road_loopA_r1,2251.7,2349.8,98.1,1298.0,47.6,0
77,car,4.5,road_loopA_f0,road_loopA_f1,2217.8,2350.5,132.7,1304.2,35.4,1
54,car,4.5,road_loopA_f0,road_loopA_f1,2202.1,2350.9,148.8,1304.0,31.5,1
131,car,4.5,road_loopA_r0,road_loopA_r1,2261.4,2351.7,90.3,1297.4,51.7,0
73,car,4.5,road_loopA_f0,xloopA_0Ab,2215.2,2351.9,136.7,505.4,13.3,1
60,car,4.5,road_loopA_f0,road_loopA_f1,2206.7,2352.0,145.3,1303.0,32.3,1
88,bus,11.0,road_loopA_r0,road_loopA_r1,2228.0,2352.3,124.3,1297.3,37.6,0
