section,veh_id,t_in_s,t_out_s,travel_s,delay_s
loopA 순환,1,115.6,4396.0,4280.4,1868.2
loopA 순환,3,594.4,4757.4,4163.0,1750.8
loopA 순환,5,1074.4,5481.0,4406.6,1994.4
loopA 순환,7,1554.4,5878.8,4324.4,1912.2
loopA 순환,9,2034.4,6261.1,4226.7,1814.5
loopA 순환,419,2514.4,6928.7,4414.3,2002.1
loopA 순환,994,2994.4,7265.4,4271.0,1858.8
loopA 순환,1551,3478.2,7731.0,4252.8,1840.6
loopA 순환,2131,3954.4,8166.3,4211.9,1799.7
loopB 순환,2,390.2,4803.9,4413.7,2003.7
loopB 순환,4,870.2,5145.5,4275.3,1865.3
loopB 순환,6,1350.2,5478.6,4128.4,1718.4
loopB 순환,8,1830.2,6148.3,4318.1,1908.1
loopB 순환,182,2310.2,6631.7,4321.5,1911.5
loopB 순환,776,2790.2,7023.7,4233.5,1823.5
loopB 순환,1311,3270.2,7434.3,4164.1,1754.1
loopB 순환,1884,3750.2,8082.4,4332.2,1922.2
