seed,car_done,car_avg_kmh,car_avg_stops,car_avg_travel_s,suv_done,suv_avg_kmh,suv_avg_stops,suv_avg_travel_s,truck_done,truck_avg_kmh,truck_avg_stops,truck_avg_travel_s,bus_done,bus_avg_kmh,bus_avg_stops,bus_avg_travel_s,tram_done,tram_avg_kmh,tram_avg_stops,tram_avg_travel_s,tt[loopA 순환]_n,tt[loopA 순환]_avg_s,tt[loopA 순환]_avg_delay_s,tt[loopB 순환]_n,tt[loopB 순환]_avg_s,tt[loopB 순환]_avg_delay_s
42,4181,35.68,0.51,117.0,1476,39.7,0.49,114.3,585,37.85,0.48,120.1,124,30.62,1.71,159.3,6,28.44,40.17,4268.4,3,4305.7,1893.6,3,4195.7,1785.7
43,4227,35.57,0.52,117.5,1442,39.71,0.49,115.4,540,38.16,0.44,119.4,139,29.93,1.9,162.0,6,28.73,40.0,4223.5,3,4231.6,1819.4,3,4183.2,1773.2
44,4242,35.55,0.49,126.5,1461,40.08,0.47,114.8,528,37.71,0.46,120.7,128,30.62,1.8,159.4,6,27.92,40.0,4344.9,3,4308.9,1896.7,3,4349.1,1939.1
45,4311,35.64,0.51,117.4,1434,39.77,0.5,114.7,534,38.29,0.46,117.9,127,28.75,2.12,167.9,7,28.86,40.0,4203.6,4,4216.7,1804.5,3,4148.0,1738.0
46,4308,35.34,0.53,119.0,1430,39.06,0.52,116.6,601,37.31,0.53,122.2,122,29.55,2.0,164.9,7,28.61,40.0,4240.3,4,4274.6,1862.4,3,4156.1,1746.1
47,4270,35.23,0.51,121.5,1513,39.48,0.49,114.9,609,37.3,0.52,120.0,125,29.55,2.06,165.0,8,28.27,40.0,4291.7,4,4287.5,1875.3,4,4262.8,1852.8
48,4182,35.76,0.51,124.8,1468,40.17,0.45,114.5,560,37.13,0.53,121.5,131,30.89,1.76,157.7,6,28.91,40.0,4196.1,3,4227.5,1815.3,3,4131.7,1721.7
mean,4245.86,35.54,0.51,120.53,1460.57,39.71,0.49,115.03,565.29,37.68,0.49,120.26,128.0,29.99,1.91,162.31,6.57,28.53,40.02,4252.64,3.43,4264.64,1852.46,3.14,4203.8,1793.8
std,49.78,0.18,0.01,3.56,26.8,0.34,0.02,0.72,30.73,0.42,0.03,1.3,5.24,0.71,0.15,3.47,0.73,0.33,0.06,49.12,0.49,35.93,35.94,0.35,71.38,71.38
