section,veh_id,t_in_s,t_out_s,travel_s,delay_s
loopA 순환,2,323.1,4477.3,4154.2,1742.0
loopA 순환,4,803.1,5195.5,4392.4,1980.2
loopA 순환,6,1283.1,5444.6,4161.5,1749.3
loopA 순환,8,1763.1,6069.8,4306.7,1894.5
loopA 순환,97,2243.1,6485.9,4242.8,1830.6
loopA 순환,637,2723.1,7051.6,4328.5,1916.3
loopA 순환,1194,3203.1,7626.8,4423.7,2011.5
loopA 순환,1761,3683.1,7857.6,4174.5,1762.3
loopB 순환,1,258.3,4679.9,4421.6,2011.6
loopB 순환,3,738.3,5092.4,4354.1,1944.1
loopB 순환,5,1218.3,5542.7,4324.4,1914.4
loopB 순환,7,1698.3,5886.1,4187.8,1777.8
loopB 순환,21,2178.3,6578.7,4400.4,1990.4
loopB 순환,561,2658.3,7069.2,4410.9,2000.9
loopB 순환,1118,3138.3,7396.5,4258.2,1848.2
loopB 순환,1676,3618.3,7996.4,4378.1,1968.1
