section,veh_id,t_in_s,t_out_s,travel_s,delay_s
loopA 순환,6678,83.0,4643.8,4560.8,2148.6
loopA 순환,6680,544.6,5282.0,4737.4,2325.2
loopA 순환,6682,1024.6,5441.9,4417.3,2005.1
loopA 순환,6684,1523.0,6081.7,4558.7,2146.5
loopA 순환,6686,1984.6,6720.4,4735.8,2323.6
loopA 순환,7022,2464.6,7168.1,4703.5,2291.3
loopA 순환,7571,2962.9,7527.0,4564.1,2151.9
loopA 순환,8124,3424.6,7973.9,4549.3,2137.1
loopB 순환,6679,322.8,5024.6,4701.8,2291.8
loopB 순환,6681,802.8,5294.5,4491.7,2081.7
loopB 순환,6683,1282.8,5833.9,4551.1,2141.1
loopB 순환,6685,1762.8,6282.1,4519.3,2109.3
loopB 순환,6805,2242.8,6549.0,4306.2,1896.2
loopB 순환,7317,2722.8,7275.6,4552.8,2142.8
loopB 순환,7894,3202.8,7631.0,4428.2,2018.2
loopB 순환,8452,3682.8,7990.8,4308.0,1898.0
