section,veh_id,t_in_s,t_out_s,travel_s,delay_s
loopA 순환,1,347.6,5028.4,4680.8,2268.6
loopA 순환,3,827.6,5385.9,4558.3,2146.1
loopA 순환,5,1320.6,5927.2,4606.6,2194.4
loopA 순환,7,1787.6,6375.5,4587.9,2175.7
loopA 순환,127,2267.6,6825.7,4558.1,2145.9
loopA 순환,684,2760.5,7469.8,4709.3,2297.1
loopA 순환,1230,3227.6,7723.4,4495.8,2083.6
loopB 순환,2,365.5,4867.8,4502.3,2092.3
loopB 순환,4,845.5,5404.4,4558.9,2148.9
loopB 순환,6,1325.5,5992.3,4666.8,2256.8
loopB 순환,8,1805.5,6350.5,4545.0,2135.0
loopB 순환,150,2285.5,6744.2,4458.7,2048.7
loopB 순환,712,2765.5,7432.3,4666.8,2256.8
loopB 순환,1250,3245.5,7644.4,4398.9,1988.9
