section,veh_id,t_in_s,t_out_s,travel_s,delay_s
loopA 순환,2,308.4,4993.5,4685.1,2272.9
loopA 순환,4,816.3,5482.4,4666.1,2253.9
loopA 순환,6,1269.6,5701.5,4431.9,2019.7
loopA 순환,8,1748.4,6435.5,4687.1,2274.9
loopA 순환,72,2256.4,6792.9,4536.5,2124.3
loopA 순환,580,2709.6,7245.2,4535.6,2123.4
loopA 순환,1119,3188.4,7731.3,4542.9,2130.7
loopB 순환,1,262.5,4781.6,4519.1,2109.1
loopB 순환,3,742.5,5371.3,4628.8,2218.8
loopB 순환,5,1222.5,5727.5,4505.0,2095.0
loopB 순환,7,1702.5,6223.7,4521.2,2111.2
loopB 순환,33,2182.5,6673.0,4490.5,2080.5
loopB 순환,546,2662.5,7303.2,4640.7,2230.7
loopB 순환,1070,3142.5,7658.1,4515.6,2105.6
loopB 순환,1650,3622.5,8105.8,4483.3,2073.3
