section,veh_id,t_in_s,t_out_s,travel_s,delay_s
loopA 순환,2,446.1,4902.2,4456.1,2043.9
loopA 순환,4,928.7,5539.4,4610.7,2198.5
loopA 순환,6,1406.1,6111.3,4705.2,2293.0
loopA 순환,8,1886.1,6468.0,4581.9,2169.7
loopA 순환,258,2368.7,6787.7,4419.0,2006.8
loopA 순환,815,2846.1,7240.7,4394.6,1982.4
loopA 순환,1324,3326.1,7781.8,4455.7,2043.5
loopB 순환,1,52.6,4691.7,4639.1,2229.1
loopB 순환,3,532.6,5129.4,4596.8,2186.8
loopB 순환,5,1012.6,5685.9,4673.3,2263.3
loopB 순환,7,1492.6,6024.7,4532.1,2122.1
loopB 순환,9,1972.6,6570.0,4597.4,2187.4
loopB 순환,349,2452.6,6929.3,4476.7,2066.7
loopB 순환,918,2932.6,7563.5,4630.9,2220.9
loopB 순환,1428,3412.6,7915.0,4502.4,2092.4
