section,veh_id,t_in_s,t_out_s,travel_s,delay_s
loopA 순환,1,64.6,4306.7,4242.1,1829.9
loopA 순환,3,544.6,4950.9,4406.3,1994.1
loopA 순환,5,1024.6,5157.6,4133.0,1720.8
loopA 순환,7,1504.6,5703.0,4198.4,1786.2
loopA 순환,9,1984.6,6351.6,4367.0,1954.8
loopA 순환,345,2464.6,6793.7,4329.1,1916.9
loopA 순환,894,2944.6,7247.3,4302.7,1890.5
loopA 순환,1447,3424.6,7674.5,4249.9,1837.7
loopA 순환,2015,3905.8,8122.5,4216.7,1804.5
loopB 순환,2,322.8,4655.2,4332.4,1922.4
loopB 순환,4,802.8,4980.9,4178.1,1768.1
loopB 순환,6,1282.8,5516.4,4233.6,1823.6
loopB 순환,8,1762.8,5895.1,4132.3,1722.3
loopB 순환,128,2242.8,6316.7,4073.9,1663.9
loopB 순환,640,2722.8,6984.5,4261.7,1851.7
loopB 순환,1217,3202.8,7307.5,4104.7,1694.7
loopB 순환,1775,3682.8,7784.6,4101.8,1691.8
