veh_id,kind,length_m,origin,destination,depart_s,arrive_s,travel_s,dist_m,avg_kmh,stops
31,car,4.5,xloopA_0Aa,xloopA_0Ab,2180.1,2190.8,10.7,84.5,28.4,0
12,suv,4.8,road_loopA_r0,road_loopA_r1,2152.1,2241.4,89.3,1297.9,52.4,0
10,suv,4.8,road_loopA_r0,road_loopA_r1,2150.9,2242.0,91.1,1297.9,51.3,0
14,car,4.5,road_loopA_r0,road_loopA_r1,2156.4,2245.3,88.9,1297.3,52.5,0
15,car,4.5,road_loopA_r0,road_loopA_r1,2161.1,2251.9,90.8,1297.8,51.4,0
17,car,4.5,road_loopA_r0,xloopA_0Ab,2164.1,2257.1,93.0,869.2,33.6,1
19,suv,4.8,road_loopA_r0,road_loopA_r1,2168.6,2259.1,90.5,1298.6,51.6,0
16,car,4.5,road_loopA_r0,road_loopA_r1,2162.9,2259.7,96.8,1297.9,48.3,0
20,suv,4.8,road_loopA_r0,road_loopA_r1,2171.0,2260.1,89.1,1298.3,52.5,0
80,suv,4.8,road_loopA_f0,xloopA_0Bb,2220.8,2260.9,40.1,478.9,43.0,0
26,suv,4.8,road_loopA_r0,road_loopA_r1,2175.8,2264.8,89.0,1297.3,52.5,0
22,suv,4.8,road_loopA_r0,road_loopA_r1,2172.7,2265.3,92.6,1298.1,50.5,0
18,truck,8.5,road_loopA_r0,road_loopA_r1,2168.1,2266.8,98.7,1298.3,47.4,0
25,car,4.5,road_loopA_f0,road_loopA_f1,2175.7,2267.2,91.5,1304.0,51.3,0
24,car,4.5,road_loopA_r0,road_loopA_r1,2175.1,2267.6,92.5,1298.2,50.5,0
30,car,4.5,road_loopA_r0,road_loopA_r1,2180.0,2269.3,89.3,1298.1,52.3,0
29,car,4.5,road_loopA_f0,road_loopA_f1,2178.7,2270.0,91.3,1303.0,51.4,0
9,car,4.5,road_loopA_f0,road_loopA_f1,2150.2,2271.3,121.1,1303.4,38.7,1
32,car,4.5,road_loopA_r0,road_loopA_r1,2180.2,2271.3,91.1,1298.7,51.3,0
23,car,4.5,road_loopA_f0,road_loopA_f1,2174.6,2272.9,98.3,1302.9,47.7,0
11,car,4.5,road_loopA_f0,road_loopA_f1,2151.2,2274.0,122.8,1303.3,38.2,1
28,car,4.5,road_loopA_f0,road_loopA_f1,2178.3,2274.7,96.4,1303.9,48.7,0
33,car,4.5,road_loopA_r0,road_loopA_r1,2180.2,2274.8,94.6,1297.6,49.4,0
34,car,4.5,road_loopA_f0,road_loopA_f1,2180.6,2276.4,95.8,1302.8,49.0,0
95,truck,8.5,road_loopA_f0,xloopA_0Bb,2231.5,2277.0,45.5,478.9,37.9,0
27,car,4.5,road_loopA_r0,road_loopA_r1,2176.6,2284.3,107.7,1297.7,43.4,0
39,car,4.5,road_loopA_f0,road_loopA_f1,2186.8,2285.1,98.3,1303.6,47.7,0
44,car,4.5,road_loopA_f0,road_loopA_f1,2192.0,2286.0,94.0,1303.7,49.9,0
42,car,4.5,road_loopA_r0,road_loopA_r1,2191.0,2287.3,96.3,1297.6,48.5,0
47,truck,8.5,road_loopA_f0,road_loopA_f1,2193.9,2289.9,96.0,1303.5,48.9,0
13,car,4.5,road_loopA_f0,xloopA_0Ab,2155.7,2291.2,135.5,505.2,13.4,1
51,car,4.5,road_loopA_f0,road_loopA_f1,2201.0,2291.3,90.3,1303.6,52.0,0
36,bus,11.0,road_loopA_r0,road_loopA_r1,2183.2,2291.5,108.3,1298.3,43.2,0
53,car,4.5,road_loopA_f0,road_loopA_f1,2201.7,2293.8,92.1,1303.1,50.9,0
63,car,4.5,road_loopA_f0,xloopA_0Ab,2208.0,2293.8,85.8,505.2,21.2,1
55,car,4.5,road_loopA_f0,road_loopA_f1,2203.8,2295.9,92.1,1303.8,51.0,0
65,suv,4.8,road_loopA_f0,xloopA_0Ab,2208.6,2296.5,87.9,505.4,20.7,1
37,car,4.5,road_loopA_f0,road_loopA_f1,2183.7,2297.2,113.5,1303.3,41.3,0
62,car,4.5,road_loopA_f0,road_loopA_f1,2207.6,2297.8,90.2,1302.9,52.0,0
