section,veh_id,t_in_s,t_out_s,travel_s,delay_s
loopA 순환,1,354.8,4760.2,4405.4,1993.2
loopA 순환,3,827.6,5075.1,4247.5,1835.3
loopA 순환,5,1308.1,5602.3,4294.2,1882.0
loopA 순환,7,1789.1,6066.5,4277.4,1865.2
loopA 순환,127,2267.6,6545.5,4277.9,1865.7
loopA 순환,684,2747.6,7175.3,4427.7,2015.5
loopA 순환,1230,3227.6,7378.0,4150.4,1738.2
loopA 순환,1786,3711.1,8156.3,4445.2,2033.0
loopB 순환,2,365.5,4652.9,4287.4,1877.4
loopB 순환,4,845.5,5087.7,4242.2,1832.2
loopB 순환,6,1325.5,5711.7,4386.2,1976.2
loopB 순환,8,1805.5,6099.8,4294.3,1884.3
loopB 순환,150,2285.5,6405.8,4120.3,1710.3
loopB 순환,712,2765.5,7163.1,4397.6,1987.6
loopB 순환,1250,3245.5,7427.5,4182.0,1772.0
loopB 순환,1811,3725.5,7924.6,4199.1,1789.1
