seed,car_done,car_avg_kmh,car_avg_stops,car_avg_travel_s,suv_done,suv_avg_kmh,suv_avg_stops,suv_avg_travel_s,truck_done,truck_avg_kmh,truck_avg_stops,truck_avg_travel_s,bus_done,bus_avg_kmh,bus_avg_stops,bus_avg_travel_s,tram_done,tram_avg_kmh,tram_avg_stops,tram_avg_travel_s,tt[loopA 순환]_n,tt[loopA 순환]_avg_s,tt[loopA 순환]_avg_delay_s,tt[loopB 순환]_n,tt[loopB 순환]_avg_s,tt[loopB 순환]_avg_delay_s
42,4181,35.45,0.56,118.0,1476,39.49,0.52,115.0,585,37.62,0.5,121.1,124,30.77,1.73,158.6,6,28.44,40.17,4268.5,3,4305.8,1893.6,3,4195.7,1785.7
43,3860,34.28,0.59,121.3,1303,38.71,0.58,118.7,488,37.37,0.48,122.2,138,29.62,1.98,163.2,6,28.73,40.0,4223.7,3,4232.0,1819.8,3,4183.2,1773.2
44,4240,35.45,0.48,127.1,1463,39.93,0.46,115.4,528,37.53,0.47,121.2,128,30.31,1.87,160.9,6,27.92,40.0,4344.9,3,4308.9,1896.7,3,4349.1,1939.1
45,4311,35.42,0.53,117.9,1434,39.55,0.49,115.3,533,38.0,0.52,119.0,127,28.61,2.17,168.8,7,28.86,40.0,4203.6,4,4216.7,1804.5,3,4148.0,1738.0
46,4308,35.13,0.53,119.6,1430,38.78,0.51,117.3,601,37.11,0.57,122.9,122,29.38,2.07,165.7,7,28.61,40.0,4240.3,4,4274.6,1862.4,3,4156.1,1746.1
47,4269,34.88,0.53,124.2,1513,39.17,0.53,115.9,609,37.0,0.56,121.1,125,29.63,2.06,165.3,8,28.27,40.0,4291.7,4,4287.5,1875.3,4,4262.8,1852.8
48,4184,35.75,0.49,124.0,1468,39.92,0.47,115.4,562,37.01,0.56,121.8,131,30.87,1.79,158.3,6,28.91,40.0,4196.7,3,4228.7,1816.5,3,4131.7,1721.7
mean,4193.29,35.19,0.53,121.73,1441.0,39.36,0.51,116.14,558.0,37.38,0.52,121.33,127.86,29.88,1.95,162.97,6.57,28.53,40.02,4252.77,3.43,4264.89,1852.69,3.14,4203.8,1793.8
std,144.54,0.45,0.04,3.24,61.92,0.46,0.04,1.26,40.74,0.34,0.04,1.13,4.94,0.75,0.15,3.63,0.73,0.33,0.06,49.01,0.49,35.72,35.72,0.35,71.38,71.38
