section,veh_id,t_in_s,t_out_s,travel_s,delay_s
loopA 순환,2,446.1,4692.0,4245.9,1833.7
loopA 순환,4,926.1,5293.8,4367.7,1955.5
loopA 순환,6,1406.1,5856.5,4450.4,2038.2
loopA 순환,8,1886.8,6208.8,4322.0,1909.8
loopA 순환,258,2366.1,6539.2,4173.1,1760.9
loopA 순환,815,2846.1,7062.3,4216.2,1804.0
loopA 순환,1324,3326.1,7580.9,4254.8,1842.6
loopB 순환,1,52.6,4388.2,4335.6,1925.6
loopB 순환,3,532.6,4687.0,4154.4,1744.4
loopB 순환,5,1012.6,5354.4,4341.8,1931.8
loopB 순환,7,1492.6,5635.1,4142.5,1732.5
loopB 순환,9,1972.6,6161.9,4189.3,1779.3
loopB 순환,349,2452.6,6650.3,4197.7,1787.7
loopB 순환,918,2932.6,7186.6,4254.0,1844.0
loopB 순환,1428,3412.6,7575.3,4162.7,1752.7
