section,veh_id,t_in_s,t_out_s,travel_s,delay_s
loopA 순환,2,323.1,4500.5,4177.4,1765.2
loopA 순환,4,803.1,5281.2,4478.1,2065.9
loopA 순환,6,1283.1,5469.5,4186.4,1774.2
loopA 순환,8,1766.4,6096.0,4329.6,1917.4
loopA 순환,97,2243.1,6501.0,4257.9,1845.7
loopA 순환,637,2730.0,7071.0,4341.0,1928.8
loopA 순환,1194,3204.1,7708.2,4504.1,2091.9
loopA 순환,1761,3698.3,7893.9,4195.6,1783.4
loopB 순환,1,258.3,4703.6,4445.3,2035.3
loopB 순환,3,738.3,5162.6,4424.3,2014.3
loopB 순환,5,1218.3,5564.0,4345.7,1935.7
loopB 순환,7,1698.3,5943.2,4244.9,1834.9
loopB 순환,21,2178.3,6615.1,4436.8,2026.8
loopB 순환,561,2658.3,7122.2,4463.9,2053.9
loopB 순환,1118,3138.3,7419.6,4281.3,1871.3
loopB 순환,1676,3618.3,8047.3,4429.0,2019.0
