section,veh_id,t_in_s,t_out_s,travel_s,delay_s
loopA 순환,2,446.1,4937.1,4491.0,2078.8
loopA 순환,4,926.1,5555.5,4629.4,2217.2
loopA 순환,6,1430.9,6119.7,4688.8,2276.6
loopA 순환,8,1898.4,6491.2,4592.8,2180.6
loopA 순환,258,2368.0,6799.5,4431.5,2019.3
loopA 순환,815,2846.1,7413.9,4567.8,2155.6
loopA 순환,1324,3326.1,7834.6,4508.5,2096.3
loopB 순환,1,52.6,4766.8,4714.2,2304.2
loopB 순환,3,532.6,5128.4,4595.8,2185.8
loopB 순환,5,1012.6,5799.5,4786.9,2376.9
loopB 순환,7,1492.6,5965.3,4472.7,2062.7
loopB 순환,9,1972.6,6625.1,4652.5,2242.5
loopB 순환,349,2452.6,7091.9,4639.3,2229.3
loopB 순환,918,2932.6,7563.5,4630.9,2220.9
loopB 순환,1428,3412.6,7929.1,4516.5,2106.5
