section,veh_id,t_in_s,t_out_s,travel_s,delay_s
loopA 순환,1,348.1,5031.6,4683.5,2271.3
loopA 순환,3,827.6,5498.7,4671.1,2258.9
loopA 순환,5,1307.6,5966.7,4659.1,2246.9
loopA 순환,7,1787.6,6433.7,4646.1,2233.9
loopA 순환,127,2267.6,6901.3,4633.7,2221.5
loopA 순환,684,2774.2,7652.5,4878.3,2466.1
loopA 순환,1230,3241.9,7927.0,4685.1,2272.9
loopB 순환,2,365.5,5044.4,4678.9,2268.9
loopB 순환,4,845.5,5415.4,4569.9,2159.9
loopB 순환,6,1325.5,5988.5,4663.0,2253.0
loopB 순환,8,1805.5,6544.1,4738.6,2328.6
loopB 순환,150,2285.5,6810.8,4525.3,2115.3
loopB 순환,712,2765.5,7484.8,4719.3,2309.3
loopB 순환,1250,3245.5,7746.1,4500.6,2090.6
