section,veh_id,t_in_s,t_out_s,travel_s,delay_s
loopA 순환,1,150.0,4863.9,4713.9,2301.7
loopA 순환,3,628.2,5233.6,4605.4,2193.2
loopA 순환,5,1108.2,5896.7,4788.5,2376.3
loopA 순환,7,1588.2,6264.3,4676.1,2263.9
loopA 순환,9,2068.2,6734.2,4666.0,2253.8
loopA 순환,482,2578.8,7099.8,4521.0,2108.8
loopA 순환,1010,3046.3,7760.3,4714.0,2301.8
loopB 순환,2,312.3,5079.5,4767.2,2357.2
loopB 순환,4,792.3,5548.2,4755.9,2345.9
loopB 순환,6,1272.3,5912.8,4640.5,2230.5
loopB 순환,8,1752.3,6380.9,4628.6,2218.6
loopB 순환,101,2232.3,6702.0,4469.7,2059.7
loopB 순환,647,2712.3,7170.1,4457.8,2047.8
loopB 순환,1199,3192.3,7874.7,4682.4,2272.4
