section,veh_id,t_in_s,t_out_s,travel_s,delay_s
loopA 순환,1,86.1,4716.5,4630.4,2218.2
loopA 순환,3,553.5,5290.2,4736.7,2324.5
loopA 순환,5,1025.3,5416.0,4390.7,1978.5
loopA 순환,7,1504.6,6075.7,4571.1,2158.9
loopA 순환,9,1984.6,6784.6,4800.0,2387.8
loopA 순환,345,2464.6,7249.7,4785.1,2372.9
loopA 순환,894,2944.6,7622.6,4678.0,2265.8
loopA 순환,1447,3452.1,8082.6,4630.5,2218.3
loopB 순환,2,322.8,4939.9,4617.1,2207.1
loopB 순환,4,802.8,5307.0,4504.2,2094.2
loopB 순환,6,1282.8,5776.5,4493.7,2083.7
loopB 순환,8,1762.8,6239.5,4476.7,2066.7
loopB 순환,128,2242.8,6610.4,4367.6,1957.6
loopB 순환,640,2722.8,7274.7,4551.9,2141.9
loopB 순환,1217,3202.8,7547.4,4344.6,1934.6
loopB 순환,1775,3682.8,8108.3,4425.5,2015.5
