veh_id,kind,length_m,origin,destination,depart_s,arrive_s,travel_s,dist_m,avg_kmh,stops
12,car,4.5,road_loopA_f0,xloopA_0Bb,2155.3,2196.3,41.0,478.8,42.1,0
66,car,4.5,xloopA_0Ba,xloopA_0Bb,2213.6,2234.3,20.7,84.2,14.6,1
31,car,4.5,xloopA_0Aa,xloopA_0Ab,2174.4,2235.3,60.9,84.7,5.0,1
47,car,4.5,xloopA_0Aa,xloopA_0Ab,2194.1,2238.1,44.0,84.2,6.9,1
10,car,4.5,road_loopA_r0,road_loopA_r1,2152.7,2241.7,89.0,1297.3,52.5,0
85,car,4.5,xloopA_0Ba,xloopA_0Bb,2232.0,2242.5,10.5,84.6,29.0,0
11,suv,4.8,road_loopA_f0,road_loopA_f1,2154.8,2244.2,89.4,1302.8,52.4,0
14,car,4.5,road_loopA_r0,road_loopA_r1,2156.4,2245.3,88.9,1297.3,52.5,0
15,car,4.5,road_loopA_f0,road_loopA_f1,2157.5,2246.9,89.4,1303.1,52.5,0
16,car,4.5,road_loopA_r0,road_loopA_r1,2159.1,2248.0,88.9,1297.3,52.5,0
17,car,4.5,road_loopA_r0,road_loopA_r1,2160.2,2249.1,88.9,1297.3,52.5,0
28,car,4.5,road_loopA_r0,xloopA_0Bb,2166.4,2250.4,84.0,895.8,38.4,1
20,suv,4.8,road_loopA_r0,road_loopA_r1,2161.7,2250.7,89.0,1297.3,52.5,0
57,car,4.5,road_loopA_f0,xloopA_0Ab,2205.0,2251.0,46.0,505.0,39.6,0
67,car,4.5,road_loopA_f0,xloopA_0Ab,2213.7,2253.2,39.5,505.1,46.1,0
21,car,4.5,road_loopA_f0,road_loopA_f1,2162.4,2253.6,91.2,1303.6,51.4,0
13,truck,8.5,road_loopA_f0,road_loopA_f1,2155.5,2255.5,100.0,1304.1,46.9,0
22,suv,4.8,road_loopA_f0,road_loopA_f1,2163.4,2255.8,92.4,1303.3,50.8,0
19,truck,8.5,road_loopA_f0,road_loopA_f1,2161.8,2262.0,100.2,1303.3,46.8,0
9,suv,4.8,road_loopA_f0,road_loopA_f1,2151.6,2263.5,111.9,1303.4,41.9,0
24,car,4.5,road_loopA_f0,road_loopA_f1,2164.6,2265.2,100.6,1303.0,46.6,0
32,car,4.5,road_loopA_f0,road_loopA_f1,2174.4,2270.5,96.1,1303.5,48.8,0
38,suv,4.8,road_loopA_f0,xloopA_0Bb,2179.3,2271.3,92.0,479.0,18.8,2
36,car,4.5,road_loopA_f0,road_loopA_f1,2178.3,2272.3,94.0,1303.7,49.9,0
43,car,4.5,road_loopA_f0,xloopA_0Bb,2186.9,2275.0,88.1,478.9,19.6,2
45,car,4.5,road_loopA_f0,road_loopA_f1,2188.1,2277.7,89.6,1303.8,52.4,0
25,truck,8.5,road_loopA_f0,road_loopA_f1,2164.9,2279.2,114.3,1303.0,41.0,0
26,truck,8.5,road_loopA_f0,road_loopA_f1,2165.2,2279.4,114.2,1303.2,41.1,0
51,truck,8.5,road_loopA_f0,xloopA_0Bb,2196.1,2280.4,84.3,478.8,20.5,4
29,suv,4.8,road_loopA_f0,road_loopA_f1,2170.2,2281.3,111.1,1303.4,42.2,0
35,suv,4.8,road_loopA_f0,road_loopA_f1,2177.9,2281.7,103.8,1303.3,45.2,0
39,car,4.5,road_loopA_f0,road_loopA_f1,2180.4,2283.5,103.1,1303.5,45.5,0
76,car,4.5,road_loopA_f0,xloopA_0Bb,2222.3,2284.0,61.7,478.7,27.9,1
18,car,4.5,road_loopA_r0,road_loopA_r1,2161.6,2286.9,125.3,1297.5,37.3,1
100,suv,4.8,road_loopA_f0,xloopA_0Bb,2240.9,2287.4,46.5,479.2,37.1,0
27,car,4.5,road_loopA_r0,road_loopA_r1,2165.4,2287.5,122.1,1297.6,38.3,1
34,car,4.5,road_loopA_r0,road_loopA_r1,2176.1,2289.3,113.2,1298.5,41.3,1
37,car,4.5,road_loopA_r0,road_loopA_r1,2178.6,2291.9,113.3,1298.4,41.3,1
42,car,4.5,road_loopA_r0,road_loopA_r1,2185.1,2294.9,109.8,1298.4,42.6,1
30,car,4.5,road_loopA_r0,road_loopA_r1,2173.3,2295.3,122.0,1298.3,38.3,1
23,truck,8.5,road_loopA_r0,road_loopA_r1,2163.9,2296.4,132.5,1298.1,35.3,1
41,car,4.5,road_loopA_r0,road_loopA_r1,2185.0,2296.9,111.9,1297.4,41.8,1
48,car,4.5,road_loopA_r0,road_loopA_r1,2194.6,2297.6,103.0,1298.4,45.4,0
40,car,4.5,road_loopA_r0,road_loopA_r1,2182.5,2298.4,115.9,1298.5,40.3,1
53,suv,4.8,road_loopA_r0,road_loopA_r1,2199.1,2298.6,99.5,1297.3,46.9,0
58,car,4.5,road_loopA_r0,road_loopA_r1,2205.8,2298.7,92.9,1298.2,50.3,0
59,suv,4.8,road_loopA_r0,road_loopA_r1,2208.5,2300.4,91.9,1298.2,50.9,0
61,car,4.5,road_loopA_r0,road_loopA_r1,2210.2,2301.0,90.8,1297.8,51.4,0
44,truck,8.5,road_loopA_r0,road_loopA_r1,2187.1,2303.5,116.4,1297.8,40.2,0
64,car,4.5,road_loopA_r0,road_loopA_r1,2212.3,2305.0,92.7,1298.0,50.4,0
69,car,4.5,road_loopA_r0,road_loopA_r1,2217.0,2307.1,90.1,1297.8,51.9,0
71,car,4.5,road_loopA_r0,road_loopA_r1,2218.7,2308.2,89.5,1297.2,52.2,0
74,car,4.5,road_loopA_r0,road_loopA_r1,2221.5,2311.1,89.6,1297.3,52.1,0
49,car,4.5,road_loopA_r0,road_loopA_r1,2194.7,2313.9,119.2,1298.2,39.2,0
50,suv,4.8,road_loopA_f0,road_loopA_f1,2196.0,2315.1,119.1,1304.1,39.4,1
78,car,4.5,road_loopA_r0,road_loopA_r1,2224.7,2315.8,91.1,1298.1,51.3,0
63,suv,4.8,road_loopA_r0,road_loopA_r1,2211.9,2316.8,104.9,1297.7,44.6,0
54,car,4.5,road_loopA_f0,road_loopA_f1,2202.3,2317.4,115.1,1304.0,40.8,1
60,car,4.5,road_loopA_f0,road_loopA_f1,2208.7,2317.6,108.9,1304.2,43.1,1
70,car,4.5,road_loopA_r0,road_loopA_r1,2217.6,2318.5,100.9,1297.4,46.3,0
68,car,4.5,road_loopA_f0,road_loopA_f1,2215.6,2319.2,103.6,1304.1,45.3,1
46,truck,8.5,road_loopA_f0,road_loopA_f1,2193.1,2323.1,130.0,1303.9,36.1,1
77,car,4.5,road_loopA_r0,road_loopA_r1,2223.2,2323.8,100.6,1297.9,46.4,0
79,car,4.5,road_loopA_r0,road_loopA_r1,2226.5,2324.9,98.4,1298.6,47.5,0
80,car,4.5,road_loopA_r0,road_loopA_r1,2228.3,2324.9,96.6,1297.5,48.4,0
52,suv,4.8,road_loopA_f0,road_loopA_f1,2198.4,2325.1,126.7,1303.8,37.0,1
55,car,4.5,road_loopA_f0,road_loopA_f1,2202.3,2326.8,124.5,1303.1,37.7,1
92,car,4.5,road_loopA_f0,road_loopA_f1,2236.1,2327.6,91.5,1303.8,51.3,0
116,car,4.5,xloopA_0Ba,xloopA_0Bb,2252.1,2327.8,75.7,84.7,4.0,1
83,truck,8.5,road_loopA_r0,road_loopA_r1,2229.3,2327.9,98.6,1297.6,47.4,0
62,car,4.5,road_loopA_f0,road_loopA_f1,2211.7,2328.1,116.4,1304.1,40.3,1
86,car,4.5,road_loopA_r0,road_loopA_r1,2232.3,2328.2,95.9,1298.4,48.8,0
56,car,4.5,road_loopA_f0,road_loopA_f1,2203.5,2328.7,125.2,1303.6,37.5,1
89,car,4.5,road_loopA_r0,road_loopA_r1,2235.2,2329.1,93.9,1297.4,49.7,0
122,car,4.5,xloopA_0Ba,xloopA_0Bb,2256.2,2330.0,73.8,84.8,4.1,1
73,car,4.5,road_loopA_f0,road_loopA_f1,2219.9,2330.4,110.5,1303.1,42.5,0
97,car,4.5,road_loopA_f0,road_loopA_f1,2238.8,2330.4,91.6,1302.9,51.2,0
84,car,4.5,road_loopA_r0,road_loopA_r1,2231.3,2330.9,99.6,1298.5,46.9,0
90,car,4.5,xloopA_0Aa,xloopA_0Ab,2235.6,2331.4,95.8,84.4,3.2,1
94,suv,4.8,road_loopA_r0,road_loopA_r1,2237.0,2331.4,94.4,1297.2,49.5,0
81,car,4.5,road_loopA_f0,road_loopA_f1,2228.4,2332.1,103.7,1302.9,45.2,0
101,car,4.5,road_loopA_f0,road_loopA_f1,2241.8,2332.2,90.4,1303.0,51.9,0
65,car,4.5,road_loopA_r0,road_loopA_r1,2212.8,2333.2,120.4,1297.2,38.8,0
75,truck,8.5,road_loopA_f0,road_loopA_f1,2221.5,2333.2,111.7,1303.5,42.0,0
98,car,4.5,road_loopA_r0,road_loopA_r1,2239.9,2333.2,93.3,1297.9,50.1,0
99,car,4.5,xloopA_0Aa,xloopA_0Ab,2241.0,2333.6,92.6,84.7,3.3,1
91,car,4.5,road_loopA_f0,road_loopA_f1,2236.0,2333.9,97.9,1303.7,48.0,0
107,car,4.5,road_loopA_f0,road_loopA_f1,2246.1,2335.5,89.4,1303.1,52.5,0
