seed,car_done,car_avg_kmh,car_avg_stops,car_avg_travel_s,suv_done,suv_avg_kmh,suv_avg_stops,suv_avg_travel_s,truck_done,truck_avg_kmh,truck_avg_stops,truck_avg_travel_s,bus_done,bus_avg_kmh,bus_avg_stops,bus_avg_travel_s,tram_done,tram_avg_kmh,tram_avg_stops,tram_avg_travel_s,tt[loopA 순환]_n,tt[loopA 순환]_avg_s,tt[loopA 순환]_avg_delay_s,tt[loopB 순환]_n,tt[loopB 순환]_avg_s,tt[loopB 순환]_avg_delay_s
42,4183,37.15,0.47,110.7,1480,40.9,0.43,110.4,587,39.11,0.39,116.2,124,31.14,1.69,156.9,4,25.71,51.5,4722.0,2,4781.7,2369.5,2,4610.0,2199.9
43,4224,36.5,0.48,125.0,1441,41.19,0.43,110.9,541,39.65,0.4,114.7,139,30.52,1.8,158.5,5,26.84,48.4,4522.7,2,4458.2,2046.0,3,4536.1,2126.1
44,4246,36.72,0.46,118.5,1465,41.34,0.41,110.9,530,38.73,0.42,116.7,128,31.0,1.77,158.0,4,25.33,51.25,4789.5,2,4771.7,2359.5,2,4752.2,2342.1
45,4302,36.42,0.52,123.7,1434,40.91,0.44,111.7,534,39.09,0.46,116.3,127,30.06,1.88,161.4,6,26.57,49.17,4565.4,3,4502.6,2090.4,3,4595.6,2185.6
46,4305,36.37,0.49,124.7,1431,40.6,0.45,111.9,601,38.7,0.46,117.5,122,30.34,1.86,160.2,6,26.45,48.17,4589.8,3,4697.9,2285.7,3,4440.7,2030.7
47,4257,36.17,0.47,124.6,1513,40.63,0.48,111.7,606,38.4,0.46,117.2,125,30.45,1.87,160.7,6,26.05,49.83,4657.5,3,4614.7,2202.5,3,4661.2,2251.2
48,4181,36.88,0.46,120.9,1471,41.42,0.44,110.7,562,38.01,0.49,119.0,131,31.54,1.66,154.2,4,26.25,50.0,4622.0,2,4617.5,2205.3,2,4570.1,2160.1
mean,4242.57,36.6,0.48,121.16,1462.14,41.0,0.44,111.17,565.86,38.81,0.44,116.8,128.0,30.72,1.79,158.56,5.0,26.17,49.76,4638.41,2.43,4634.9,2222.7,2.57,4595.13,2185.1
std,46.8,0.31,0.02,4.81,27.26,0.3,0.02,0.54,29.83,0.49,0.03,1.23,5.24,0.48,0.08,2.31,0.93,0.48,1.2,85.8,0.49,115.68,115.68,0.49,90.41,90.38
