section,veh_id,t_in_s,t_out_s,travel_s,delay_s
loopA 순환,2,324.5,4951.4,4626.9,2214.7
loopA 순환,4,803.1,5560.8,4757.7,2345.5
loopA 순환,6,1283.1,5886.4,4603.3,2191.1
loopA 순환,8,1763.1,6493.1,4730.0,2317.8
loopA 순환,97,2243.1,6916.2,4673.1,2260.9
loopA 순환,637,2752.6,7522.6,4770.0,2357.8
loopA 순환,1194,3220.1,7993.5,4773.4,2361.2
loopB 순환,1,258.3,5091.3,4833.0,2423.0
loopB 순환,3,738.3,5549.3,4811.0,2401.0
loopB 순환,5,1218.3,5918.3,4700.0,2290.0
loopB 순환,7,1698.3,6280.1,4581.8,2171.8
loopB 순환,21,2178.3,7051.7,4873.4,2463.4
loopB 순환,561,2658.3,7520.7,4862.4,2452.4
loopB 순환,1118,3138.3,7780.2,4641.9,2231.9
