section,veh_id,t_in_s,t_out_s,travel_s,delay_s
loopA 순환,2,308.4,4845.6,4537.2,2125.0
loopA 순환,4,788.4,5655.2,4866.8,2454.6
loopA 순환,6,1268.4,5689.0,4420.6,2008.4
loopA 순환,8,1748.4,6439.4,4691.0,2278.8
loopA 순환,72,2250.7,6713.9,4463.2,2051.0
loopA 순환,580,2718.2,7280.6,4562.4,2150.2
loopA 순환,1119,3189.3,7543.3,4354.0,1941.8
loopB 순환,1,262.5,4771.2,4508.7,2098.7
loopB 순환,3,742.5,5434.1,4691.6,2281.6
loopB 순환,5,1222.5,5896.8,4674.3,2264.3
loopB 순환,7,1702.5,6173.9,4471.4,2061.4
loopB 순환,33,2182.5,6641.3,4458.8,2048.8
loopB 순환,546,2662.5,7415.4,4752.9,2342.9
loopB 순환,1070,3142.5,7576.6,4434.1,2024.1
loopB 순환,1650,3622.5,8043.9,4421.4,2011.4
